CDT	ID	PT	WT	TID
1:10	2	1:2	0:4	1
1:11	6	1:6	0:2	6
1:11	3	1:4	0:3	4
1:12	1	1:2	0:4	1
1:15	5	1:5	0:6	3
2:10	8	2:2	0:4	3
2:13	7	2:2	0:4	3
2:14	11	2:6	0:4	6
2:15	9	2:4	0:6	1
2:18	10	2:5	0:4	4
3:11	12	3:2	0:5	4
3:17	13	3:2	0:9	1
3:17	15	3:5	0:6	3
3:19	17	3:6	0:5	1
4:6	19	4:2	0:2	3
4:7	18	4:2	0:2	3
4:11	21	4:5	0:1	4
4:16	20	4:4	0:7	1
4:21	22	4:6	0:8	3
5:10	27	5:6	0:1	2
5:14	24	5:2	0:7	1
5:18	26	5:5	0:4	4
5:20	25	5:4	0:5	1
6:9	28	6:2	0:1	2
6:17	31	6:5	0:7	1
6:17	29	6:2	0:7	4
6:22	32	6:6	0:6	1
7:10	36	7:5	0:1	4
7:14	33	7:2	0:6	3
7:16	37	7:6	0:5	5
7:17	35	7:4	0:8	1
7:19	34	7:2	0:6	3
8:10	42	8:6	0:1	4
8:16	38	8:2	0:9	1
8:18	41	8:5	0:8	2
8:21	40	8:4	0:7	1
====================================================================== 
Total Cargos : 40 | Normal = 15, Special = 14, VIP = 11 | 
Average Waiting Time : 0:4
Auto Promoted Cargos : 0.000000
Total Trucks : 6 | Normal = 2, Special = 3 , Vip = 1| 
Average Active Time = 47
Average Utilisation = 17.053526

